age,experience_years,daily_work_hours,sleep_hours,caffeine_intake,bugs_per_day,commits_per_day,meetings_per_day,screen_time,exercise_hours,stress_level,burnout_level,work_sleep_ratio,screen_time_intensity,commit_bug_ratio,work_category
43.0,3.0,4.15,4.84,7.0,15.0,2.0,1.0,8.01,0.95,34.26,0,0.8400809716599192,1.8847058823529412,0.13245033112582782,0
22.0,12.0,12.61,7.94,5.0,6.0,17.0,9.0,17.5,0.71,77.5,2,1.5684079601990046,1.3768686073957515,2.7868852459016393,1
41.0,16.0,5.45,7.53,3.0,9.0,13.0,6.0,7.69,1.8,28.51,0,0.7142857142857143,1.3855855855855856,1.4285714285714286,0
40.0,10.0,12.37,5.61,4.0,15.0,5.0,0.0,17.12,0.25,85.2,2,2.166374781085814,1.3728949478749,0.33112582781456956,2
21.0,1.0,4.16,5.65,2.0,16.0,1.0,8.0,7.61,1.45,51.03,1,0.7234782608695652,1.7863849765258217,0.06211180124223602,0
43.0,15.0,10.46,6.82,5.0,6.0,0.0,7.0,13.44,1.22,64.45,1,1.5115606936416186,1.2727272727272727,0.0,1
31.0,1.0,8.35,8.26,1.0,10.0,7.0,0.0,12.02,1.61,19.79,0,0.9988038277511962,1.4224852071005918,0.6930693069306931,0
25.0,18.0,6.01,5.93,0.0,16.0,9.0,9.0,9.82,1.08,37.07,1,0.9966832504145937,1.6072013093289692,0.5590062111801242,0
21.0,18.0,5.08,4.31,4.0,4.0,19.0,0.0,6.77,1.26,19.68,0,1.1519274376417237,1.306949806949807,4.634146341463415,1
40.0,15.0,8.4,5.87,2.0,0.0,17.0,1.0,12.41,1.93,27.68,0,1.407035175879397,1.46,170.0,1
20.0,18.0,5.23,5.04,5.0,2.0,19.0,1.0,9.13,0.18,27.93,0,1.0175097276264593,1.7129455909943716,9.047619047619047,1
31.0,8.0,8.86,8.7,4.0,15.0,10.0,5.0,13.85,0.21,46.3,1,1.0068181818181818,1.5457589285714286,0.6622516556291391,1
41.0,0.0,10.25,7.49,1.0,14.0,17.0,0.0,14.9,0.79,43.95,1,1.3504611330698288,1.4396135265700485,1.2056737588652482,1
31.0,9.0,12.27,4.25,2.0,3.0,26.0,3.0,16.01,0.95,56.11,1,2.820689655172414,1.2942603071948264,8.387096774193548,2
44.0,18.0,10.79,5.46,7.0,11.0,15.0,6.0,14.64,0.4,89.65,2,1.9406474820143884,1.34435261707989,1.3513513513513513,1
36.0,0.0,4.65,4.25,4.0,0.0,4.0,8.0,9.43,0.17,38.84,1,1.0689655172413794,1.9852631578947368,40.0,1
29.0,1.0,7.07,8.15,2.0,16.0,6.0,9.0,11.94,0.04,35.43,1,0.856969696969697,1.6652719665271967,0.37267080745341613,0
35.0,15.0,6.88,8.53,7.0,14.0,14.0,2.0,11.19,1.53,30.34,0,0.7972190034762457,1.6031518624641834,0.9929078014184397,0
34.0,11.0,13.15,4.56,2.0,19.0,1.0,3.0,17.22,0.97,90.03,2,2.821888412017168,1.2996226415094339,0.05235602094240837,2
34.0,7.0,12.68,6.2,4.0,19.0,10.0,4.0,14.13,1.69,81.65,2,2.0126984126984127,1.1056338028169015,0.5235602094240838,2
38.0,17.0,7.7,8.66,2.0,9.0,12.0,4.0,12.02,0.72,53.795,0,0.8789954337899544,1.541025641025641,1.3186813186813187,0
31.0,1.0,4.71,4.73,1.0,10.0,19.0,1.0,6.72,1.41,17.83,0,0.9751552795031055,1.3970893970893972,1.8811881188118813,0
32.0,12.0,12.94,5.46,4.0,17.0,23.0,4.0,16.2,0.98,89.57,2,2.327338129496403,1.2423312883435582,1.3450292397660817,2
39.0,5.0,12.88,5.52,5.0,1.0,27.0,9.0,15.5,1.22,83.11,2,2.2918149466192177,1.1941448382126347,24.545454545454543,2
44.0,5.0,12.55,4.15,6.0,5.0,15.0,0.0,14.93,0.74,76.09,2,2.9529411764705884,1.1802371541501975,2.9411764705882355,2
22.0,8.0,12.45,4.18,4.0,15.0,29.0,6.0,14.69,0.16,99.13,2,2.9088785046728973,1.1705179282868527,1.9205298013245033,2
24.0,15.0,8.8,8.76,1.0,6.0,13.0,4.0,13.22,1.89,31.36,0,0.9932279909706547,1.4853932584269662,2.1311475409836067,0
32.0,10.0,5.77,6.86,1.0,18.0,6.0,5.0,9.85,1.67,50.25,1,0.8290229885057471,1.678023850085179,0.3314917127071823,0
26.0,6.0,8.77,5.53,1.0,11.0,6.0,8.0,11.86,0.62,80.33,2,1.5577264653641207,1.3370913190529876,0.5405405405405406,1
40.0,9.0,8.95,5.89,7.0,17.0,11.0,2.0,12.61,1.92,72.3,2,1.4941569282136895,1.3933701657458564,0.6432748538011696,1
28.0,9.0,8.9,7.57,5.0,9.0,11.0,0.0,12.02,0.6,59.88,1,1.1603650586701435,1.3355555555555556,1.208791208791209,1
26.0,19.0,9.39,5.83,5.0,6.0,19.0,7.0,11.98,0.89,69.16,1,1.5834738617200677,1.2623814541622762,3.114754098360656,1
37.0,10.0,6.58,5.14,6.0,3.0,0.0,1.0,9.78,1.51,9.61,0,1.255725190839695,1.464071856287425,0.0,1
23.0,19.0,7.66,4.51,6.0,16.0,22.0,1.0,10.79,0.62,77.59,1,1.661605206073753,1.3904639175257731,1.3664596273291925,1
44.0,8.0,8.34,7.64,2.0,16.0,5.0,9.0,13.08,0.65,80.09,2,1.0775193798449614,1.5497630331753556,0.3105590062111801,1
33.0,14.0,5.31,4.9,2.0,3.0,7.0,3.0,7.72,0.82,30.84,0,1.0619999999999998,1.4269870609981516,2.258064516129032,1
37.0,3.0,8.55,4.35,3.0,4.0,26.0,4.0,13.5,0.94,33.53,0,1.921348314606742,1.560693641618497,6.341463414634147,1
28.0,7.0,12.1,6.13,6.0,0.0,12.0,0.0,14.32,0.25,57.67,1,1.942215088282504,1.1737704918032787,120.0,1
40.0,8.0,12.28,4.2,6.0,18.0,14.0,2.0,13.72,0.03,100.0,2,2.855813953488372,1.1082390953150243,0.7734806629834253,2
21.0,12.0,8.12,8.82,2.0,10.0,23.0,7.0,9.89,1.02,27.13,1,0.9103139013452914,1.2031630170316303,2.2772277227722775,0
39.0,8.0,9.19,7.14,1.0,0.0,9.0,5.0,11.89,0.71,37.93,1,1.2693370165745856,1.2798708288482241,90.0,1
34.0,10.0,4.34,4.76,3.0,7.0,26.0,2.0,7.94,0.2,30.59,0,0.8930041152263375,1.7882882882882887,3.6619718309859155,0
26.0,16.0,10.74,4.86,6.0,3.0,13.0,6.0,13.81,1.52,62.75,1,2.1653225806451615,1.2739852398523985,4.193548387096774,2
31.0,15.0,8.05,6.85,1.0,9.0,23.0,5.0,10.56,0.59,54.06,1,1.1582733812949642,1.2957055214723927,2.5274725274725274,1
27.0,14.0,8.45,5.78,0.0,16.0,8.0,4.0,11.7,1.02,42.29,1,1.4370748299319727,1.368421052631579,0.49689440993788814,1
34.0,2.0,12.74,7.87,7.0,17.0,16.0,7.0,17.1,1.93,90.88,2,1.5984943538268508,1.3317757009345796,0.935672514619883,1
22.0,19.0,8.62,6.73,6.0,2.0,2.0,7.0,12.98,1.84,51.74,1,1.2620790629575402,1.4885321100917435,0.9523809523809523,1
33.0,4.0,4.21,6.17,5.0,17.0,11.0,2.0,8.11,0.21,37.08,1,0.671451355661882,1.8816705336426915,0.6432748538011696,0
36.0,4.0,6.27,8.81,4.0,6.0,11.0,7.0,11.08,1.8,27.54,0,0.7037037037037036,1.7394034536891683,1.8032786885245902,0
32.0,19.0,8.76,5.95,0.0,16.0,10.0,9.0,12.12,1.78,65.02,1,1.4479338842975207,1.3679458239277653,0.6211180124223602,1
37.0,14.0,8.24,6.0,5.0,17.0,21.0,8.0,9.27,1.27,74.56,2,1.3508196721311476,1.1115107913669064,1.2280701754385963,1
27.0,17.0,12.6,7.33,5.0,19.0,28.0,9.0,14.76,1.06,85.01,2,1.695827725437416,1.1622047244094489,1.4659685863874345,1
23.0,14.0,9.42,8.05,7.0,7.0,3.0,2.0,11.73,0.43,53.35,1,1.1558282208588957,1.2321428571428572,0.4225352112676057,1
21.0,1.0,10.9,7.13,1.0,10.0,7.0,7.0,14.09,0.24,67.97,1,1.5076071922544954,1.280909090909091,0.6930693069306931,1
25.0,12.0,8.69,7.49,2.0,2.0,9.0,7.0,13.31,1.21,28.27,0,1.144927536231884,1.5142207053469854,4.285714285714286,1
41.0,3.0,8.4,5.86,4.0,6.0,13.0,6.0,12.75,1.64,60.33,1,1.4093959731543624,1.5,2.1311475409836067,1
29.0,9.0,8.46,6.4,2.0,14.0,29.0,7.0,10.39,1.38,71.37,2,1.3015384615384618,1.213785046728972,2.0567375886524824,1
23.0,12.0,8.11,4.99,2.0,9.0,0.0,0.0,11.19,0.36,40.12,1,1.593320235756385,1.3629719853836786,0.0,1
41.0,9.0,9.39,7.4,6.0,11.0,11.0,2.0,13.03,0.58,66.95,1,1.252,1.3730242360379346,0.990990990990991,1
37.0,8.0,6.5,5.11,4.0,11.0,4.0,5.0,11.45,1.09,67.44,1,1.2476007677543186,1.7348484848484849,0.3603603603603604,1
31.0,7.0,12.91,4.01,4.0,18.0,13.0,6.0,14.04,1.25,94.85,2,3.1411192214111927,1.0791698693312837,0.718232044198895,3
21.0,2.0,7.33,8.67,0.0,18.0,3.0,6.0,10.19,0.14,44.12,1,0.8358038768529077,1.3714670255720054,0.16574585635359115,0
29.0,15.0,5.48,5.53,1.0,14.0,27.0,5.0,10.43,1.23,21.81,0,0.9733570159857905,1.8691756272401432,1.9148936170212767,0
23.0,13.0,4.97,4.98,2.0,4.0,16.0,3.0,9.88,1.47,11.49,0,0.9783464566929133,1.9487179487179491,3.9024390243902443,0
33.0,8.0,4.13,5.34,7.0,12.0,25.0,4.0,6.45,0.36,43.62,1,0.7591911764705883,1.5248226950354613,2.066115702479339,0
35.0,10.0,8.23,5.65,1.0,8.0,21.0,8.0,9.23,0.49,41.79,1,1.431304347826087,1.1080432172869148,2.5925925925925926,1
34.0,2.0,5.88,6.37,1.0,9.0,25.0,0.0,9.23,0.52,12.94,0,0.9088098918083463,1.5434782608695654,2.7472527472527473,0
27.0,4.0,4.22,4.35,7.0,7.0,12.0,1.0,8.69,1.88,32.7,0,0.9483146067415731,2.0115740740740744,1.6901408450704227,0
33.0,9.0,9.2,4.26,6.0,8.0,2.0,4.0,11.5,0.81,67.55,1,2.1100917431192663,1.2365591397849465,0.2469135802469136,2
32.0,12.0,10.8,5.46,3.0,5.0,10.0,4.0,15.54,1.06,47.26,1,1.942446043165468,1.4256880733944952,1.9607843137254903,1
44.0,3.0,4.86,5.48,0.0,17.0,10.0,6.0,7.19,1.45,59.52,1,0.8709677419354839,1.4495967741935485,0.5847953216374269,0
27.0,12.0,8.61,4.59,2.0,9.0,4.0,7.0,12.05,0.74,50.52,1,1.835820895522388,1.3834672789896674,0.43956043956043955,1
40.0,11.0,11.44,6.02,5.0,14.0,5.0,9.0,15.33,0.21,100.0,2,1.8692810457516342,1.3284228769497402,0.3546099290780142,1
35.0,4.0,13.86,5.42,4.0,12.0,3.0,5.0,16.24,1.31,85.75,2,2.5108695652173916,1.163323782234957,0.24793388429752067,2
32.0,9.0,10.67,4.13,4.0,10.0,9.0,5.0,13.08,1.33,74.13,2,2.522458628841608,1.2144846796657383,0.8910891089108911,2
37.0,8.0,6.45,8.43,1.0,1.0,9.0,4.0,9.33,0.52,14.94,0,0.7561547479484174,1.4244274809160307,8.181818181818182,0
34.0,19.0,11.17,8.43,7.0,7.0,11.0,4.0,15.51,0.07,73.75,2,1.3094958968347012,1.3762200532386868,1.5492957746478875,1
40.0,6.0,9.98,5.05,0.0,17.0,21.0,7.0,11.38,1.33,85.14,2,1.9378640776699032,1.128968253968254,1.2280701754385963,1
43.0,1.0,6.12,4.81,0.0,2.0,22.0,4.0,9.65,1.41,31.25,0,1.2464358452138495,1.5514469453376207,10.476190476190476,1
44.0,6.0,12.51,6.74,2.0,2.0,17.0,5.0,16.22,0.05,48.16,1,1.8289473684210527,1.2862807295796985,8.095238095238095,1
32.0,7.0,8.27,7.15,2.0,6.0,29.0,2.0,11.5,1.39,24.92,0,1.1406896551724137,1.3739545997610516,4.754098360655738,1
28.0,6.0,13.62,8.79,1.0,17.0,14.0,4.0,18.36,1.88,62.08,1,1.532058492688414,1.338192419825073,0.8187134502923976,1
34.0,13.0,11.23,5.89,1.0,8.0,22.0,8.0,14.64,0.36,59.72,1,1.874791318864775,1.292144748455428,2.7160493827160495,1
32.0,18.0,10.45,7.09,1.0,17.0,22.0,2.0,13.99,1.04,53.795,1,1.4534075104311543,1.3260663507109007,1.286549707602339,1
20.0,4.0,11.28,8.39,3.0,0.0,17.0,7.0,14.68,1.39,23.31,0,1.3286219081272084,1.2899824253075571,170.0,1
44.0,17.0,8.78,6.25,0.0,3.0,2.0,6.0,12.67,0.46,34.76,0,1.3826771653543306,1.426801801801802,0.6451612903225806,1
26.0,19.0,9.05,4.61,1.0,3.0,2.0,3.0,10.59,1.5,30.82,0,1.9214437367303612,1.157377049180328,0.6451612903225806,1
28.0,11.0,12.51,5.89,6.0,16.0,0.0,4.0,12.02,1.74,84.17,2,2.0884808013355594,0.9532117367168914,0.0,2
43.0,16.0,10.81,4.68,0.0,1.0,16.0,7.0,11.98,1.63,38.74,1,2.261506276150628,1.0980751604032997,14.545454545454545,2
20.0,12.0,12.97,4.08,5.0,14.0,9.0,9.0,16.53,0.52,100.0,2,3.1028708133971294,1.2647283856159144,0.6382978723404256,3
31.0,1.0,12.91,7.76,4.0,12.0,26.0,6.0,16.37,1.61,94.11,2,1.642493638676845,1.2582628747117603,2.1487603305785123,1
27.0,12.0,13.76,5.19,4.0,8.0,5.0,9.0,15.59,0.83,92.27,2,2.601134215500945,1.124819624819625,0.617283950617284,2
43.0,6.0,11.0,4.01,0.0,6.0,24.0,9.0,12.16,0.53,66.48,1,2.6763990267639906,1.0954954954954956,3.934426229508197,2
30.0,9.0,9.02,8.36,5.0,11.0,24.0,1.0,10.58,0.34,47.32,1,1.066193853427896,1.1600877192982457,2.1621621621621623,1
38.0,5.0,5.66,6.22,4.0,11.0,10.0,7.0,7.75,1.82,46.08,1,0.8955696202531647,1.3454861111111112,0.9009009009009009,0
36.0,2.0,11.05,5.19,4.0,13.0,13.0,7.0,15.58,0.85,100.0,2,2.0888468809073726,1.3973094170403586,0.9923664122137404,2
27.0,2.0,6.92,5.31,4.0,14.0,16.0,8.0,11.34,1.73,61.98,1,1.279112754158965,1.6153846153846154,1.1347517730496455,1
22.0,17.0,6.83,5.2,2.0,0.0,27.0,1.0,8.09,0.32,23.62,0,1.288679245283019,1.1673881673881674,270.0,1
22.0,10.0,6.38,4.97,5.0,8.0,6.0,3.0,8.54,1.53,27.37,0,1.2583826429980278,1.317901234567901,0.7407407407407408,1
20.0,19.0,12.75,8.21,7.0,15.0,21.0,1.0,17.31,0.22,69.62,1,1.5342960288808662,1.3470817120622567,1.390728476821192,1
24.0,4.0,12.68,4.85,2.0,8.0,3.0,3.0,12.02,0.04,66.59,1,2.561616161616162,0.9405320813771518,0.3703703703703704,2
29.0,18.0,10.31,6.81,0.0,15.0,10.0,2.0,15.29,1.99,35.54,1,1.4920405209840812,1.4687800192122957,0.6622516556291391,1
26.0,18.0,8.73,4.39,0.0,1.0,18.0,6.0,10.76,0.15,45.81,1,1.9443207126948778,1.218573046432616,16.363636363636363,1
28.0,14.0,10.72,8.75,3.0,9.0,8.0,5.0,14.68,0.92,52.52,1,1.2112994350282487,1.3567467652495377,0.8791208791208791,1
26.0,15.0,10.07,7.02,7.0,17.0,25.0,6.0,12.74,1.76,80.74,2,1.4143258426966294,1.2527040314650935,1.461988304093567,1
28.0,8.0,8.16,8.52,2.0,12.0,20.0,1.0,9.7,1.64,13.41,0,0.9466357308584687,1.1743341404358354,1.6528925619834711,0
27.0,3.0,7.8,5.99,0.0,1.0,7.0,3.0,9.82,0.94,11.68,0,1.2807881773399015,1.2430379746835445,6.363636363636363,1
31.0,14.0,7.83,8.05,7.0,12.0,19.0,5.0,11.53,1.22,49.9,1,0.9607361963190184,1.4539722572509457,1.5702479338842976,0
21.0,11.0,9.89,8.27,2.0,2.0,3.0,4.0,12.24,1.26,18.4,0,1.1816009557945044,1.2252252252252251,1.4285714285714286,1
20.0,2.0,10.48,7.51,3.0,14.0,15.0,1.0,13.9,0.22,37.85,1,1.3771353482260185,1.3137996219281665,1.0638297872340425,1
35.0,13.0,8.52,4.46,0.0,2.0,5.0,6.0,10.34,0.57,53.49,1,1.868421052631579,1.1995359628770303,2.380952380952381,1
42.0,16.0,13.69,4.08,0.0,9.0,5.0,1.0,16.48,0.6,85.23,2,3.2751196172248807,1.1950688905003626,0.5494505494505495,3
42.0,18.0,4.84,4.84,0.0,5.0,18.0,8.0,7.89,0.76,46.48,1,0.979757085020243,1.597165991902834,3.5294117647058827,0
43.0,5.0,7.47,4.59,0.0,13.0,1.0,6.0,10.12,0.55,63.16,1,1.5927505330490406,1.3368560105680316,0.07633587786259542,1
24.0,3.0,8.19,7.63,1.0,8.0,10.0,2.0,9.98,0.5,25.99,0,1.0595084087968951,1.2038600723763573,1.234567901234568,1
22.0,6.0,4.17,6.79,5.0,17.0,24.0,5.0,7.02,0.71,70.82,2,0.6052249637155298,1.6440281030444965,1.4035087719298245,0
31.0,18.0,7.65,6.63,5.0,9.0,17.0,4.0,11.42,0.76,54.65,1,1.1367013372956911,1.4735483870967743,1.8681318681318682,1
27.0,16.0,6.74,5.26,2.0,5.0,8.0,8.0,11.6,0.97,37.59,1,1.2574626865671643,1.695906432748538,1.5686274509803924,1
41.0,15.0,9.06,4.77,2.0,14.0,27.0,2.0,13.22,0.35,77.57,2,1.8603696098562632,1.443231441048035,1.9148936170212767,1
22.0,14.0,7.36,5.03,7.0,13.0,15.0,1.0,9.01,1.58,53.43,1,1.4346978557504875,1.207774798927614,1.1450381679389314,1
20.0,7.0,11.26,6.0,7.0,14.0,10.0,1.0,13.35,1.72,81.9,2,1.8459016393442624,1.1751760563380282,0.7092198581560284,1
22.0,18.0,9.1,7.7,2.0,19.0,13.0,3.0,10.42,0.5,79.14,2,1.1666666666666667,1.132608695652174,0.6806282722513088,1
24.0,7.0,5.3,5.27,3.0,5.0,7.0,0.0,6.84,0.25,13.55,0,0.9869646182495345,1.2666666666666668,1.3725490196078431,0
34.0,17.0,11.5,7.49,6.0,11.0,26.0,8.0,13.5,1.44,76.99,2,1.5151515151515151,1.1637931034482758,2.3423423423423424,1
33.0,10.0,4.99,6.46,1.0,9.0,12.0,2.0,6.79,1.85,18.34,0,0.7606707317073171,1.3339882121807467,1.3186813186813187,0
22.0,19.0,8.99,8.43,6.0,18.0,9.0,4.0,14.24,0.07,88.81,2,1.0539273153575617,1.5665566556655666,0.49723756906077343,1
20.0,18.0,13.31,5.16,2.0,7.0,22.0,5.0,15.23,0.03,56.48,1,2.5304182509505706,1.1357196122296793,3.098591549295775,2
24.0,9.0,7.22,6.25,7.0,4.0,11.0,7.0,9.42,0.37,53.37,1,1.137007874015748,1.2868852459016396,2.682926829268293,1
42.0,16.0,13.26,4.48,7.0,9.0,20.0,2.0,14.76,1.37,76.6,2,2.895196506550218,1.1047904191616766,2.197802197802198,2
33.0,12.0,11.93,5.68,2.0,10.0,28.0,4.0,14.04,1.93,60.52,1,2.06401384083045,1.167082294264339,2.7722772277227725,2
26.0,12.0,13.22,6.53,0.0,19.0,2.0,6.0,16.97,1.5,72.74,2,1.9939668174962293,1.274024024024024,0.10471204188481674,1
28.0,6.0,10.66,7.66,7.0,13.0,1.0,1.0,12.61,1.02,57.58,1,1.3737113402061856,1.1719330855018586,0.07633587786259542,1
34.0,9.0,6.36,4.99,6.0,13.0,10.0,2.0,8.05,1.4,70.27,2,1.2495088408644401,1.2461300309597525,0.7633587786259542,1
34.0,1.0,12.95,5.09,7.0,1.0,23.0,7.0,14.22,0.46,83.65,2,2.4951830443159926,1.0896551724137933,20.909090909090907,2
29.0,3.0,5.84,7.16,0.0,16.0,17.0,9.0,8.84,1.38,49.5,1,0.8044077134986226,1.4882154882154883,1.0559006211180124,0
32.0,5.0,6.13,5.91,7.0,14.0,23.0,7.0,10.5,0.64,72.19,2,1.0199667221297837,1.6853932584269664,1.6312056737588654,1
38.0,17.0,6.71,6.41,6.0,2.0,20.0,2.0,7.95,0.44,41.8,1,1.0307219662058371,1.167400881057269,9.523809523809524,1
26.0,5.0,7.04,8.18,4.0,2.0,24.0,9.0,10.21,0.47,35.94,1,0.8502415458937199,1.4299719887955185,11.428571428571429,0
36.0,16.0,9.14,6.5,0.0,2.0,3.0,6.0,12.74,1.34,51.86,1,1.384848484848485,1.3787878787878787,1.4285714285714286,1
39.0,13.0,11.13,7.26,2.0,2.0,7.0,1.0,14.5,1.53,19.28,0,1.5122282608695654,1.2911843276936776,3.333333333333333,1
23.0,10.0,13.26,7.28,0.0,17.0,28.0,8.0,17.77,1.16,85.48,2,1.7967479674796747,1.3300898203592815,1.6374269005847952,1
24.0,10.0,4.88,8.02,2.0,5.0,10.0,7.0,9.35,0.13,21.9,0,0.6009852216748769,1.8775100401606426,1.9607843137254903,0
42.0,1.0,13.54,7.19,6.0,13.0,14.0,5.0,14.77,0.08,100.0,2,1.857338820301783,1.0828445747800588,1.0687022900763359,1
26.0,2.0,13.21,4.32,3.0,2.0,22.0,8.0,15.65,0.43,69.56,1,2.98868778280543,1.175807663410969,10.476190476190476,2
32.0,10.0,4.54,5.71,3.0,0.0,27.0,6.0,8.22,0.57,31.65,0,0.7814113597246128,1.7715517241379313,270.0,0
34.0,5.0,7.6,8.95,4.0,9.0,23.0,3.0,12.41,0.81,31.31,0,0.839779005524862,1.6116883116883118,2.5274725274725274,0
30.0,13.0,12.13,4.98,7.0,12.0,20.0,4.0,16.35,0.15,91.36,2,2.3877952755905514,1.3368765331152903,1.6528925619834711,2
23.0,18.0,10.12,6.93,1.0,8.0,1.0,6.0,11.83,1.45,63.48,1,1.4395448079658606,1.1575342465753427,0.1234567901234568,1
32.0,15.0,11.79,8.21,0.0,1.0,22.0,4.0,13.91,1.42,37.83,1,1.418772563176895,1.1698906644238858,20.0,1
26.0,6.0,11.19,6.93,5.0,9.0,18.0,9.0,15.24,0.69,92.55,2,1.5917496443812233,1.349867139061116,1.978021978021978,1
38.0,7.0,8.97,5.86,0.0,11.0,14.0,7.0,11.86,1.13,69.2,1,1.50503355704698,1.3076074972436602,1.2612612612612613,1
41.0,18.0,4.41,4.4,1.0,18.0,28.0,4.0,7.6,0.2,79.65,2,0.98,1.6851441241685143,1.5469613259668507,0
21.0,19.0,9.84,5.81,7.0,2.0,25.0,4.0,13.28,0.83,63.34,1,1.6649746192893402,1.336016096579477,11.904761904761905,1
29.0,15.0,4.49,4.91,7.0,18.0,25.0,4.0,5.9,1.72,57.44,1,0.8962075848303394,1.2854030501089326,1.3812154696132595,0
32.0,6.0,8.99,8.8,6.0,0.0,25.0,3.0,14.46,1.32,30.01,0,1.010112359550562,1.590759075907591,250.0,1
44.0,8.0,12.0,7.58,1.0,14.0,27.0,6.0,16.45,0.21,93.99,2,1.5625,1.359504132231405,1.9148936170212767,1
40.0,12.0,8.99,7.75,6.0,12.0,26.0,1.0,12.72,1.7,51.96,1,1.145222929936306,1.3993399339933994,2.1487603305785123,1
25.0,0.0,13.97,6.18,4.0,6.0,25.0,9.0,17.48,1.36,90.61,2,2.224522292993631,1.2423596304193318,4.0983606557377055,2
31.0,7.0,8.56,4.55,1.0,1.0,12.0,3.0,12.2,0.91,45.25,1,1.8408602150537638,1.4087759815242493,10.909090909090908,1
31.0,3.0,11.49,5.33,2.0,19.0,1.0,2.0,13.25,1.38,74.21,2,2.116022099447514,1.1432269197584124,0.05235602094240837,2
39.0,2.0,10.67,5.3,0.0,10.0,2.0,9.0,12.12,0.35,68.94,1,1.975925925925926,1.1253481894150417,0.19801980198019803,1
30.0,2.0,13.91,6.43,1.0,15.0,29.0,7.0,14.99,1.1,97.54,2,2.1301684532924963,1.0699500356887937,1.9205298013245033,2
42.0,12.0,11.13,6.3,2.0,13.0,13.0,6.0,15.78,1.24,67.87,1,1.7390625000000002,1.4051647373107745,0.9923664122137404,1
44.0,7.0,5.64,6.17,1.0,14.0,19.0,2.0,8.02,1.86,45.92,1,0.8995215311004785,1.397212543554007,1.3475177304964538,0
26.0,6.0,13.56,6.48,5.0,19.0,25.0,3.0,14.9,0.13,74.28,2,2.060790273556231,1.0907759882869692,1.3089005235602094,2
20.0,0.0,10.68,8.94,2.0,18.0,12.0,3.0,13.54,0.75,58.43,1,1.18141592920354,1.2560296846011132,0.6629834254143646,1
20.0,10.0,4.59,5.49,3.0,6.0,26.0,9.0,5.89,1.87,40.25,1,0.8211091234347049,1.255863539445629,4.262295081967213,0
44.0,5.0,10.58,7.08,7.0,8.0,22.0,6.0,11.92,0.43,64.74,1,1.4735376044568247,1.1161048689138577,2.7160493827160495,1
32.0,6.0,12.83,5.2,2.0,3.0,25.0,7.0,15.79,1.63,81.52,2,2.4207547169811323,1.2211910286156225,8.064516129032258,2
39.0,11.0,8.99,6.33,4.0,5.0,15.0,3.0,12.81,0.0,53.93,1,1.3981337480559877,1.4092409240924093,2.9411764705882355,1
32.0,8.0,7.54,5.0,6.0,9.0,11.0,7.0,10.86,0.05,63.01,1,1.4784313725490197,1.4214659685863875,1.208791208791209,1
